CD,Cluster,Very low density,Low density,Medium density,High density,
AK-AL,Pure rural,0.482992665,0.198331097,0.229245042,0.089431195,
AL-01,Rural-suburban mix,0.365358974,0.428877657,0.197413357,0.008350013,
AL-02,Pure rural,0.535486669,0.31614772,0.148365611,0,
AL-03,Pure rural,0.540407296,0.389347676,0.065552228,0.0046928,
AL-04,Pure rural,0.69533214,0.288941508,0.015726352,0,
AL-05,Rural-suburban mix,0.398973049,0.432821297,0.168205655,0,
AL-06,Rural-suburban mix,0.346319911,0.49027171,0.151928697,0.011479682,
AL-07,Rural-suburban mix,0.303055809,0.330021701,0.339117516,0.027804974,
AR-01,Pure rural,0.650547977,0.264875258,0.084576765,0,
AR-02,Rural-suburban mix,0.305145193,0.39532154,0.294859311,0.004673956,
AR-03,Rural-suburban mix,0.361864208,0.433573111,0.204562682,0,
AR-04,Pure rural,0.690657483,0.262483008,0.046859509,0,
AZ-01,Pure rural,0.552900431,0.316821046,0.130278523,0,
AZ-02,Dense suburban,0.170871146,0.223304459,0.408930803,0.196893591,
AZ-03,Dense suburban,0.176423801,0.257885821,0.447550938,0.11813944,
AZ-04,Rural-suburban mix,0.366262401,0.397373647,0.198631276,0.037732676,
AZ-05,Dense suburban,0.003618718,0.230978847,0.676681395,0.08872104,
AZ-06,Dense suburban,0.040134928,0.227922918,0.42978418,0.302157974,
AZ-07,Urban-suburban mix,0.000759489,0.129455329,0.435115029,0.434670153,
AZ-08,Dense suburban,0.052865116,0.198211327,0.615663893,0.133259664,
AZ-09,Urban-suburban mix,9.26125E-05,0.057301059,0.428893084,0.513713245,
CA-01,Rural-suburban mix,0.431104133,0.367305761,0.170450159,0.031139947,
CA-02,Rural-suburban mix,0.289726987,0.315057017,0.332725326,0.06249067,
CA-03,Rural-suburban mix,0.250094866,0.258825396,0.258746879,0.23233286,
CA-04,Rural-suburban mix,0.408058314,0.349768047,0.199964043,0.042209596,
CA-05,Dense suburban,0.129091208,0.235716195,0.385459595,0.249733003,
CA-06,Urban-suburban mix,0.010107086,0.067177025,0.390008165,0.532707724,
CA-07,Dense suburban,0.050511194,0.091057017,0.550797636,0.307634153,
CA-08,Rural-suburban mix,0.267238283,0.47800226,0.234738237,0.020021219,
CA-09,Dense suburban,0.090937515,0.236530012,0.449621722,0.222910751,
CA-10,Dense suburban,0.113324645,0.20045871,0.460711605,0.22550504,
CA-11,Urban-suburban mix,0.022609345,0.240418852,0.333292353,0.40367945,
CA-12,Pure urban,0.000471314,0.011569472,0.015539853,0.972419361,
CA-13,Pure urban,0.002136938,0.0458227,0.106423434,0.845616929,
CA-14,Urban-suburban mix,0.023704437,0.096242496,0.21598721,0.664065857,
CA-15,Urban-suburban mix,0.05213472,0.147415039,0.286899722,0.513550518,
CA-16,Dense suburban,0.16602181,0.236400317,0.366472542,0.231105331,
CA-17,Pure urban,0.008294134,0.064441211,0.161098087,0.766166568,
CA-18,Urban-suburban mix,0.043208436,0.151931204,0.250548249,0.554312111,
