CD,Cluster,Very low density,Low density,Medium density,High density,Incumbent,Party,Clinton16,Trump16,Obama12,Romney12,Obama08,McCain08,cong_R16,cong_D16,cong_Other16,PVI,cook_rating,cook_score,is_competitive_cook,D538,is_competitive538,Pure rural,Rural-suburban mix,Sparse suburban,Dense suburban,Urban-suburban mix,Pure urban
AK-AL,Pure rural,0.482992665,0.198331097,0.229245042,0.089431195,Don Young,R,0.376,0.528,0.412,0.553,0.381,0.597,0.503208976,0.360219729,0.136571295,9,Likely R,2,1,0.2508,1,0.424532269,0.368229476,0.085791203,0.060389458,0.042739297,0.018318296
AL-01,Rural-suburban mix,0.365358974,0.428877657,0.197413357,0.008350013,Bradley Byrne,R,0.341,0.635,0.374,0.618,0.385,0.609,0.963824672,0,0.036175328,15,Solid R,3,0,6.00E-04,0,0.05286365,0.878888746,0.042582581,0.01369528,0.008344839,0.003624903
AL-02,Pure rural,0.535486669,0.31614772,0.148365611,0,Martha Roby,R,0.33,0.649,0.364,0.629,0.35,0.645,0.487685477,0.405262054,0.107052469,16,Solid R,3,0,0.0165,0,0.846468247,0.11374801,0.018446111,0.010236007,0.007395931,0.003705694
AL-03,Pure rural,0.540407296,0.389347676,0.065552228,0.0046928,Mike Rogers,R,0.323,0.653,0.368,0.623,0.366,0.626,0.669318435,0.329319689,0.001361876,16,Solid R,3,0,0.001,0,0.746228802,0.176311716,0.035823986,0.018896667,0.014726732,0.008012097
AL-04,Pure rural,0.69533214,0.288941508,0.015726352,0,Robert Aderholt,R,0.174,0.804,0.24,0.748,0.255,0.733,0.985303453,0,0.014696547,30,Solid R,3,0,0,0,0.809888106,0.102350628,0.033958829,0.022604606,0.019296153,0.011901677
AL-05,Rural-suburban mix,0.398973049,0.432821297,0.168205655,0,Mo Brooks,R,0.313,0.647,0.349,0.639,0.363,0.626,0.666979107,0.331577616,0.001443278,18,Solid R,3,0,0.001,0,0.118319509,0.785553837,0.056249985,0.020508394,0.013277577,0.006090697
AL-06,Rural-suburban mix,0.346319911,0.49027171,0.151928697,0.011479682,Gary Palmer,R,0.261,0.708,0.247,0.743,0.25,0.741,0.744939357,0.254198223,8.62E-04,26,Solid R,3,0,1.00E-04,0,0.132366411,0.670260854,0.122456751,0.038310499,0.025061684,0.011543801
AL-07,Rural-suburban mix,0.303055809,0.330021701,0.339117516,0.027804974,Terri Sewell,D,0.698,0.286,0.724,0.271,0.715,0.281,0,0.984130662,0.015869338,-20,Solid D,-3,0,1,0,0.081598671,0.555904391,0.243936452,0.075859013,0.031720185,0.010981288
AR-01,Pure rural,0.650547977,0.264875258,0.084576765,0,Eric Crawford,R,0.302,0.65,0.363,0.61,0.392,0.58,0.762780703,0,0.237219297,17,Solid R,3,0,5.00E-04,0,0.922960795,0.044905749,0.012875396,0.008474835,0.006862879,0.003920347
AR-02,Rural-suburban mix,0.305145193,0.39532154,0.294859311,0.004673956,J. Hill,R,0.417,0.524,0.429,0.547,0.443,0.538,0.583447948,0.368133067,0.048418985,7,Lean R,1,1,0.1658,0,0.061324916,0.705886786,0.167279155,0.039537881,0.018839255,0.007132008
