district,Lcluster,ineq Rank,DistrictL,Representative,Party,years_in_house,Median_household_income,Mean_household_income,Per_capita_income,GiniIndex
NY-10,Pure urban,1,NY10,Rep. Jerrold Nadler,D,21,"$70,722 ","$128,184 ","$56,138 ",0.584
PA-02,Pure urban,2,PA02,Rep. Chaka Fattah,D,19,"$34,897 ","$61,718 ","$25,564 ",0.576
NY-12,Pure urban,3,NY12,Rep. Carolyn Maloney,D,21,"$82,823 ","$142,577 ","$75,479 ",0.568
IL-07,Pure urban,4,IL07,Rep. Danny Davis,D,17,"$45,687 ","$76,462 ","$31,119 ",0.567
FL-27,Urban-suburban mix,5,FL27,Rep. Ileana Ros-Lehtinen,R,25,"$39,694 ","$70,470 ","$25,520 ",0.564
CT-04,Sparse suburban,6,CT04,Rep. James Himes,D,5,"$81,757 ","$138,950 ","$50,732 ",0.556
NY-16,Pure urban,7,NY16,Rep. Eliot Engel,D,25,"$61,876 ","$98,660 ","$37,188 ",0.54
OH-11,Urban-suburban mix,8,OH11,Rep. Marcia Fudge,D,5,"$32,689 ","$52,392 ","$22,830 ",0.539
GA-05,Dense suburban,9,GA05,Rep. John Lewis,D,27,"$41,746 ","$65,779 ","$27,136 ",0.538
CA-33,Urban-suburban mix,10,CA33,Rep. Henry Waxman,D,39,"$92,060 ","$142,423 ","$61,273 ",0.536
NY-07,Pure urban,11,NY07,Rep. Nydia VelÃ¡zquez,D,21,"$41,596 ","$66,868 ","$23,286 ",0.536
MI-14,Dense suburban,13,MI14,Rep. Gary Peters,D,5,"$39,849 ","$61,830 ","$24,345 ",0.527
TX-07,Urban-suburban mix,14,TX07,Rep. John Culberson,R,13,"$67,460 ","$106,356 ","$41,749 ",0.523
MA-07,Pure urban,15,MA07,Rep. Michael Capuano,D,15,"$49,200 ","$71,830 ","$29,096 ",0.522
CA-12,Pure urban,16,CA12,Rep. Nancy Pelosi,D,27,"$72,120 ","$106,533 ","$48,523 ",0.52
CA-37,Pure urban,17,CA37,Rep. Karen Bass,D,3,"$48,184 ","$72,415 ","$28,415 ",0.518
CA-28,Pure urban,18,CA28,Rep. Adam Schiff,D,13,"$52,938 ","$81,167 ","$34,809 ",0.517
NY-13,Pure urban,18,NY13,Rep. Charles Rangel,D,43,"$34,924 ","$52,714 ","$21,212 ",0.517
FL-22,Dense suburban,20,FL22,Rep. Lois Frankel,D,1,"$52,562 ","$81,252 ","$36,620 ",0.516
FL-23,Urban-suburban mix,21,FL23,Rep. Debbie Wasserman Schultz,D,9,"$52,006 ","$79,495 ","$32,571 ",0.515
CA-02,Rural-suburban mix,22,CA02,Rep. Jared Huffman,D,1,"$59,262 ","$90,976 ","$36,731 ",0.513
CA-13,Pure urban,23,CA13,Rep. Barbara Lee,D,16,"$57,052 ","$85,207 ","$34,606 ",0.511
IL-09,Urban-suburban mix,24,IL09,Rep. Janice Schakowsky,D,15,"$61,455 ","$90,750 ","$37,244 ",0.509
MD-07,Urban-suburban mix,25,MD07,Rep. Elijah Cummings,D,18,"$52,508 ","$77,062 ","$29,932 ",0.508
FL-19,Sparse suburban,26,FL19,OPEN,OPEN,0,"$49,270 ","$75,915 ","$31,402 ",0.508
CO-01,Urban-suburban mix,27,CO01,Rep. Diana DeGette,D,17,"$51,481 ","$76,096 ","$33,493 ",0.503
FL-14,Dense suburban,28,FL14,Rep. Kathy Castor,D,7,"$39,858 ","$57,848 ","$23,787 ",0.502
TX-32,Dense suburban,29,TX32,Rep. Pete Sessions,R,17,"$62,569 ","$93,228 ","$36,181 ",0.502
FL-18,Sparse suburban,30,FL18,Rep. Patrick Murphy,D,1,"$49,482 ","$75,484 ","$31,511 ",0.501
NY-08,Pure urban,31,NY08,Rep. Hakeem Jeffries,D,1,"$42,393 ","$60,200 ","$23,199 ",0.499
LA-02,Dense suburban,32,LA02,Rep. Cedric Richmond,D,3,"$35,778 ","$52,304 ","$20,714 ",0.499
NJ-10,Pure urban,33,NJ10,Rep. Donald Payne,D,1,"$47,083 ","$67,014 ","$25,533 ",0.499
