store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,year_first,year_last,X,Y,method,match,dup,st_type,loc_id,store_name_l,store
Family Dollar Store 441,st_179512,1215,DR MLK JR Expressway,NA,Andalusia,AL,36420,Combination Grocery/Other,2,Small retail,4,0,1,1,1,1,1,1,0,0,0,0,2009,2014,-86.46053119,31.31868993,esri,StreetAddress,0,NA,L000463,family dollar store 441,Family Dollar
Family Dollar Store 10104,st_322946,2445,Al Highway 202,NA,Anniston,AL,36201,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,1,1,1,1,1,0,2013,2017,-85.86321,33.64727,usda,NA,0,NA,L000484,family dollar store 10104,Family Dollar
Family Dollar Store 7085,st_186384,3228,McClellan Blvd,NA,Anniston,AL,36201,Combination Grocery/Other,2,Small retail,4,0,1,1,1,1,1,1,1,1,0,0,2009,2016,-85.82305514,33.68819039,esri,StreetAddress,0,NA,L000487,family dollar store 7085,Family Dollar
DOLLAR GENERAL 6898,st_008670,1537,N Brindlee Mountain Pkwy,NA,Arab,AL,35016,Combination Grocery/Other,2,Small retail,4,1,1,1,0,0,0,0,0,0,0,0,2008,2010,-86.5040162,34.34491819,esri,PointAddress,0,NA,L000531,dollar general 6898,Dollar General
Family Dollar Store 1291,st_183441,0,Hwy 84 and 3rd Rd,NA,Ashford,AL,36312,Combination Grocery/Other,2,Small retail,4,0,1,1,1,1,1,1,1,1,0,0,2009,2016,-85.2379515,31.183155,esri,StreetInt,0,NA,L000551,family dollar store 1291,Family Dollar
Dollar General 10518,st_171090,42142,Old Daphne Rd,NA,Bay Minette,AL,36507,Combination Grocery/Other,2,Small retail,4,0,1,1,1,1,1,1,1,1,1,0,2009,2017,-87.77313,30.83677,usda,NA,0,NA,L000638,dollar general 10518,Dollar General
DOLLAR GENERAL 3289,st_152944,671,9th Ave N,NA,Bessemer,AL,35020,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,0,2008,2017,-86.97176,33.39343,usda,NA,0,NA,L000670,dollar general 3289,Dollar General
DOLLAR GENERAL 4072,st_152761,324,Palisades Blvd,NA,Birmingham,AL,35209,Combination Grocery/Other,2,Small retail,4,1,1,1,0,0,0,0,0,0,0,0,2008,2010,-86.82011037,33.46764526,esri,StreetAddress,0,NA,L000720,dollar general 4072,Dollar General
DOLLAR GENERAL 9783,st_147160,70670,Main St,NA,Blountsville,AL,35031,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,0,2008,2017,-86.57501,34.09967,usda,NA,0,NA,L000976,dollar general 9783,Dollar General
DOLLAR GENERAL 9408,st_147164,981,Bethsadia Rd,NA,Boaz,AL,35957,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,0,2008,2017,-86.15083,34.19822,usda,NA,0,NA,L000981,dollar general 9408,Dollar General
Dollar Tree 1881,st_247167,225,Supercenter Dr,NA,Calera,AL,35040,Combination Grocery/Other,2,Small retail,4,0,0,0,1,1,1,1,1,1,1,0,2011,2017,-86.74986,33.14557,usda,NA,0,NA,L001053,dollar tree 1881,Dollar Tree
Family Dollar Store 1416,st_177625,216,Claiborne St,NA,Camden,AL,36726,Combination Grocery/Other,2,Small retail,4,0,1,0,0,0,0,0,0,0,0,0,2009,2009,-87.29087087,31.9902267,esri,StreetAddress,0,NA,L001057,family dollar store 1416,Family Dollar
