STATEFP,COUNTYFP,GEOID,NAME,Number_of_DS
01,001,01001,Autauga,9
01,003,01003,Baldwin,41
01,005,01005,Barbour,6
01,007,01007,Bibb,3
01,009,01009,Blount,11
01,011,01011,Bullock,2
01,013,01013,Butler,6
01,015,01015,Calhoun,22
01,017,01017,Chambers,7
01,019,01019,Cherokee,7
01,021,01021,Chilton,7
01,023,01023,Choctaw,3
01,025,01025,Clarke,7
01,027,01027,Clay,3
01,029,01029,Cleburne,3
01,031,01031,Coffee,11
01,033,01033,Colbert,15
01,035,01035,Conecuh,4
01,037,01037,Coosa,1
01,039,01039,Covington,10
01,041,01041,Crenshaw,3
01,043,01043,Cullman,23
01,045,01045,Dale,12
01,047,01047,Dallas,9
01,049,01049,DeKalb,17
01,051,01051,Elmore,14
01,053,01053,Escambia,6
01,055,01055,Etowah,21
01,057,01057,Fayette,4
01,059,01059,Franklin,7
01,061,01061,Geneva,9
01,063,01063,Greene,1
01,065,01065,Hale,3
01,067,01067,Henry,2
01,069,01069,Houston,24
01,071,01071,Jackson,12
01,073,01073,Jefferson,64
01,075,01075,Lamar,3
01,077,01077,Lauderdale,20
01,079,01079,Lawrence,9
01,081,01081,Lee,18
01,083,01083,Limestone,17
01,085,01085,Lowndes,2
01,087,01087,Macon,4
01,089,01089,Madison,44
01,091,01091,Marengo,4
01,093,01093,Marion,10
01,095,01095,Marshall,17
01,097,01097,Mobile,70
01,099,01099,Monroe,6
01,101,01101,Montgomery,29
01,103,01103,Morgan,19
01,105,01105,Perry,2
01,107,01107,Pickens,5
01,109,01109,Pike,6
01,111,01111,Randolph,3
01,113,01113,Russell,12
01,115,01115,St. Clair,18
01,117,01117,Shelby,18
01,119,01119,Sumter,2
01,121,01121,Talladega,18
01,123,01123,Tallapoosa,11
01,125,01125,Tuscaloosa,31
01,127,01127,Walker,20
01,129,01129,Washington,5
01,131,01131,Wilcox,3
01,133,01133,Winston,4
04,001,04001,Apache,5
04,003,04003,Cochise,14
04,005,04005,Coconino,6
04,007,04007,Gila,5
04,009,04009,Graham,5
04,011,04011,Greenlee,1
04,012,04012,La Paz,2
04,013,04013,Maricopa,57
04,015,04015,Mohave,17
04,017,04017,Navajo,7
04,019,04019,Pima,29
04,021,04021,Pinal,14
04,023,04023,Santa Cruz,4
04,025,04025,Yavapai,11
04,027,04027,Yuma,7
05,001,05001,Arkansas,3
05,003,05003,Ashley,4
05,005,05005,Baxter,9
05,007,05007,Benton,20
05,009,05009,Boone,9
05,011,05011,Bradley,2
05,013,05013,Calhoun,1
05,015,05015,Carroll,4
05,017,05017,Chicot,2
05,019,05019,Clark,5
05,021,05021,Clay,3
05,023,05023,Cleburne,7
05,025,05025,Cleveland,2
05,027,05027,Columbia,4
05,029,05029,Conway,5
05,031,05031,Craighead,20
05,033,05033,Crawford,12
05,035,05035,Crittenden,5
05,037,05037,Cross,3
