STATEFP,COUNTYFP,GEOID,NAME,count
01,073,01073,Jefferson,1
01,089,01089,Madison,1
01,097,01097,Mobile,1
01,101,01101,Montgomery,1
04,005,04005,Coconino,1
04,013,04013,Maricopa,5
04,019,04019,Pima,3
04,025,04025,Yavapai,2
05,093,05093,Mississippi,1
05,119,05119,Pulaski,1
05,143,05143,Washington,1
06,001,06001,Alameda,5
06,013,06013,Contra Costa,4
06,019,06019,Fresno,1
06,037,06037,Los Angeles,26
06,041,06041,Marin,4
06,053,06053,Monterey,1
06,055,06055,Napa,1
06,059,06059,Orange,6
06,061,06061,Placer,1
06,065,06065,Riverside,1
06,067,06067,Sacramento,2
06,073,06073,San Diego,5
06,075,06075,San Francisco,7
06,079,06079,San Luis Obispo,1
06,081,06081,San Mateo,2
06,083,06083,Santa Barbara,1
06,085,06085,Santa Clara,8
06,087,06087,Santa Cruz,2
06,097,06097,Sonoma,5
06,111,06111,Ventura,2
06,113,06113,Yolo,1
08,001,08001,Adams,1
08,005,08005,Arapahoe,2
08,013,08013,Boulder,5
08,031,08031,Denver,4
08,035,08035,Douglas,1
08,037,08037,Eagle,1
08,041,08041,El Paso,2
08,059,08059,Jefferson,3
08,069,08069,Larimer,1
08,117,08117,Summit,1
09,001,09001,Fairfield,5
09,003,09003,Hartford,3
09,009,09009,New Haven,1
11,001,11001,District of Columbia,4
12,011,12011,Broward,5
12,021,12021,Collier,1
12,031,12031,Duval,1
12,057,12057,Hillsborough,2
12,073,12073,Leon,1
12,086,12086,Miami-Dade,6
12,091,12091,Okaloosa,1
12,095,12095,Orange,2
12,099,12099,Palm Beach,4
12,103,12103,Pinellas,1
12,115,12115,Sarasota,1
12,117,12117,Seminole,1
13,051,13051,Chatham,1
13,067,13067,Cobb,2
13,089,13089,DeKalb,1
13,121,13121,Fulton,5
13,245,13245,Richmond,1
15,003,15003,Honolulu,2
15,009,15009,Maui,1
16,001,16001,Ada,1
17,031,17031,Cook,21
17,043,17043,DuPage,4
17,097,17097,Lake,2
