CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Aberdeen,Anderson Park,SD,US,2018-06-30,around 70,70,,70,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20643/signup/?source=&s=,http://dakotafreepress.com/2018/06/30/photos-families-belong-together-rally-in-aberdeen/,,
Abilene,Everman Park Downtown,TX,US,2018-06-30,FB: 156,156,,156,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/19993/signup/?source=&s=,https://www.facebook.com/events/2056884484569116/,,
Adrian,Old Lenawee County Courthouse,MI,US,2018-06-30,nearly 100,100,,100,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20389/signup/?source=&s=,http://www.lenconnect.com/news/20180701/lenawee-county-protestors-decry-immigration-policy,,
Akron,Main and Mill,OH,US,2018-06-30,about 200,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.news5cleveland.com/news/local-news/akron-canton-news/200-in-akron-protest-immigrant-children-being-separated-from-their-parents-when-seeking-asylum,,,
Alameda,Intersection of Park St. & Santa Clara Ave.,CA,US,2018-06-30,about 300,300,,300,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20559/signup/?source=&s=,https://twitter.com/ReginaWalton/status/1013242759447134208,https://twitter.com/SteveBitker/status/1013149758037168128,
Alamosa,Cole Park,CO,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20162/signup/?source=&s=,,,
Alamogordo,White Sands Boulevard,NM,US,2018-06-30,about 75,75,,75,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,https://www.alamogordonews.com/story/news/local/community/2018/07/03/alamogordos-we-trust-women-rally-asks-responsible-immigration-reform/753451002/,,
Albany,West Capitol Park,NY,US,2018-06-30,over 100,100,,100,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20369/signup/?source=&s=,https://www.timesunion.com/news/article/Hundreds-protest-Trump-s-immigration-policies-in-13040036.php,,
Albany,Linn County Courthouse,OR,US,2018-06-30,hundreds,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20097/signup/?source=&s=,https://democratherald.com/news/local/hundreds-turn-out-at-mid-valley-immigration-rallies/article_3976d03c-c60b-5a0e-855a-272ba7077378.html,,
Albert Lea,Freeborn County Detention Center,MN,US,2018-06-30,about 100,100,,100,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/19997/signup/?source=&s=,https://twitter.com/ILCM_MN/status/1013102342147919874,https://www.kaaltv.com/news/ldquofamilies-belong-togetherrdquo-rallies-in-albert-lea-and-rochester-/4970505/,
Albuquerque,Civic Plaza,NM,US,2018-06-30,na,5000,,5000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/19877/signup/?source=&s=,https://twitter.com/NM_risestronger/status/1013153588640509952,,
Alexandria,Kingstowne Towne Center (glassy area),VA,US,2018-06-30,estimated 300,300,,300,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20036/signup/?source=&s=,http://www.fairfaxtimes.com/articles/alexandria-church-calls-for-immigrant-family-reunification/article_772852a6-7ee5-11e8-8b6e-fff99734edb8.html,,
Alliance,Box Butte County Courthouse,NE,US,2018-06-30,FB: 24,24,,24,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://www.facebook.com/events/184566742232921/,,,
Alpine,Brewster County Courthouse lawn,TX,US,2018-06-30,roughly 150,150,,150,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20310/signup/?source=&s=,https://twitter.com/HCookAustin/status/1013124700342505472,https://marfapublicradio.org/blog/in-alpine-and-across-u-s-protestors-march-against-trumps-immigration-policy/,
Alvarado,Prairieland Detention Center,TX,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20473/signup/?source=&s=,,,
Amarillo,Sanborn Park,TX,US,2018-06-30,several dozens,36,,36,,,Indivisible Amarillo,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20487/signup/?source=&s=,https://www.myhighplains.com/news/families-belong-together-rally-in-amarillo/1276181042,,
Ambler,Kohler Park Horsham,PA,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20542/signup/?source=&s=,,,
Anacortes,Corner of 12th and Commercial,WA,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20002/signup/?source=&s=,,,
Anchorage,Delaney Park Strip,AK,US,2018-06-30,hundreds; FB: 348,200,,348,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20065/signup/?source=&s=,https://www.facebook.com/events/1909211695765918/,https://www.adn.com/alaska-news/anchorage/2018/06/30/protesters-gather-on-anchorage-park-strip-against-family-separations-at-us-mexico-border/,
Andalusia,Court Square,AL,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20138/signup/?source=&s=,,,
Anderson,Dickmann Town Center Park,IN,US,2018-06-30,around 60,60,,60,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,http://www.heraldbulletin.com/news/local_news/residents-community-members-gather-to-support-immigrant-children/article_48062ee0-c92c-5069-9e38-c931def9ac59.html,,,
