CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Anchorage,Delaney Park Strip,AK,US,2018-03-24,na,1500,,1500,,,"March For Our Lives - Anchorage, Alaska",support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://twitter.com/march4ourlifeak,https://www.adn.com/alaska-news/anchorage/2018/03/24/were-just-sick-and-tired-demonstrators-in-anchorage-protest-gun-violence/,
Fairbanks,Golden Heart Plaza,AK,US,2018-03-24,na,200,,200,,,March for Our Lives,support gun control,1,demonstration; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.newsminer.com/news/local_news/fairbanksans-join-nationwide-protest-against-gun-violence/article_e5b06280-2fcc-11e8-86e0-1fe1e163000c.html,,
Homer,,AK,US,2018-03-24,,,,,,,AK-Homer-March For Our Lives,support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.ktva.com/story/37801534/anchorage-students-join-march-for-our-lives-against-gun-violence,,
Juneau,Congressional Delegation Corner,AK,US,2018-03-24,na,200,,200,,,STOP Gunning Our Nation,support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://www.ktoo.org/2018/03/24/juneau-residents-legislators-call-for-gun-reform-at-march-for-our-lives-protest/,,
Ketchikan,131 Front Street,AK,US,2018-03-24,,,,,,,March for Our Lives,support gun control,1,march,,,,,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,,,
Utqiagvik,Barrow,AK,US,2018-03-24,na,13,,16,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,http://www.thearcticsounder.com/article/1813utqiagvik_marches_against_gun_violence,https://www.trendsmap.com/twitter/tweet/977701190631792641,https://twitter.com/MiladyDeBennet/status/977792439770497024,Utqiagvik / Barrow
Birmingham,Railroad Park,AL,US,2018-03-24,estimated 5000,5000,,5000,,,March for Our Lives — Birmingham,support gun control,1,march,0,0,0,0,1,1,http://www.al.com/news/index.ssf/2018/03/birminghams_march_for_our_live.html,http://abc3340.com/news/local/thousands-gather-for-march-for-our-lives-in-birmingham,,
Decatur,Courthouse Square,AL,US,2018-03-24,over 100,100,,100,,,MARCH for our Lives Jasper,support gun control,1,march,0,0,0,0,1,1,http://www.nowdecatur.com/2018/03/24/march-for-our-lives-hits-the-streets-of-decatur/,,,
Dothan,Porter Park (Foster St.) to Kinney Park,AL,US,2018-03-24,more than 100,100,,100,,,March For Our Lives Wiregrass,support gun control,1,march; rally,0,0,0,0,1,1,http://www.wtvy.com/content/news/Hundreds-gather-for-March-Of-Our-Lives-Wiregrass--477846283.html,http://www.al.com/news/index.ssf/2018/03/alabamas_march_for_our_lives_2.html,,
Florence,Wilson Park,AL,US,2018-03-24,more than a hundred,100,,200,,,March For Our Lives - The Shoals,support gun control,1,march; rally,0,0,0,0,1,1,http://whnt.com/2018/03/24/florence-residents-gather-for-their-own-march-for-our-lives-event/,http://www.al.com/news/index.ssf/2018/03/alabamas_march_for_our_lives_2.html,,
Huntsville,Big Spring Park,AL,US,2018-03-24,about 70 people,70,,70,,,Huntsville March For Our Lives,support gun control,1,march; rally,0,0,0,0,1,1,http://houstonianonline.com/2018/03/28/march-for-our-lives-storms-huntsville/,,,
Jasper,Courthouse Square,AL,US,2018-03-24,,70,,70,,,MARCH for our Lives Jasper,support gun control,1,march,,,,,0,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.al.com/news/index.ssf/2018/03/alabamas_march_for_our_lives_2.html,,
Mobile,Public Safety Memorial Park,AL,US,2018-03-24,,500,,500,,,Mobile March For Our Lives,support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.fox10tv.com/story/37802779/hundreds-join-the-march-for-our-lives-movement-in-mobile,http://www.al.com/news/index.ssf/2018/03/alabamas_march_for_our_lives_2.html,
Montgomery,State Capitol Building,AL,US,2018-03-24,Hundreds,200,,200,,,Montgomery March For Our Lives Walk,support gun control,1,march,0,0,0,0,1,1,http://www.waka.com/2018/03/24/hundreds-protest-montgomery-march-lives/,,,
Oxford,The Square,AL,US,2018-03-24,Hundreds,200,,200,,,Moms Demand Action - Oxford,support gun control,1,march,0,0,0,0,1,1,http://thedmonline.com/high-school-students-organize-march-for-our-lives-oxford-campaigning-for-an-end-to-gun-violence/,,,
Selma,Edmond Petus Bridge,AL,US,2018-03-24,dozens,24,,24,,,March For Our Lives Black Belt,support gun control,1,march,0,0,0,0,1,1,https://www.selmatimesjournal.com/2018/03/24/national-march-for-our-lives-campaign-reaches-selma/,http://www.al.com/news/index.ssf/2018/03/alabamas_march_for_our_lives_2.html,,
Bentonville,Downtown Bentonville Square,AR,US,2018-03-24,about 450,450,,500,,,"March for Our Lives - Bentonville, AR",support gun control,1,march,0,0,0,0,1,1,https://twitter.com/OZRKIndivisible/status/977634064202129408,http://www.arkansasonline.com/news/2018/mar/25/hundreds-participate-in-peaceful-nwa-ma/?print,https://twitter.com/annehelen/status/977726494561599488,
Eureka Springs,,AR,US,2018-03-24,picture,6,,8,,,"March for Our Lives - Bentonville, AR",support gun control,1,march,0,0,0,0,1,1,http://www.arkansasonline.com/news/2018/mar/23/more-800-march-our-lives-planned-across-country-in/,http://www.lovelycitizen.com/story/2496761.html,,
Fayetteville,College Lakes Recreation Center,AR,US,2018-03-24,well over 100,100,,100,,,"March for Our Lives - Fayetteville, AR",support gun control,1,march,0,0,0,0,1,1,http://www.fayobserver.com/news/20180324/gun-control-supporters-say-enough,,,
Fort Smith,Courthouse Steps,AR,US,2018-03-24,Over 200,200,,200,,,Fort Smith March for Our Lives,support gun control,1,march; rally,0,0,0,0,1,1,http://www.swtimes.com/news/20180325/demonstrators-in-fort-smith-join-in-march-for-our-lives,,,
Jonesboro,Jonesboro High School,AR,US,2018-03-24,more than 100,100,,100,,,AR - Jonesboro - March For Our Lives,support gun control,1,march,0,0,0,0,1,1,http://www.ksla.com/story/37802125/jonesboro-community-participates-in-nationwide-march,,,
Little Rock,State Capitol,AR,US,2018-03-24,estimated between 3000 to 3500,3000,,3500,,,Little Rock March For Our Lives,support gun control,1,rally,0,0,0,0,1,1,http://www.arkansasonline.com/news/2018/mar/24/what-democracy-looks-thousands-march-little-rock-a/,,,
Springdale,Walter Turnbow Park,AR,US,2018-03-24,150 to 200,150,,200,,,March For Our Lives,support gun control,1,march,0,0,0,0,1,1,http://www.arkansasonline.com/news/2018/mar/25/hundreds-participate-in-peaceful-nwa-ma/?print,,,
Flagstaff,Lawn at City Hall,AZ,US,2018-03-24,More than 750,750,,750,,,Flagstaff March for Our Lives,support gun control,1,rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://azdailysun.com/news/local/photo-gallery-flagstaff-march-for-our-lives-attracts/collection_adb9f133-ec35-512d-92c5-49ac7d8b5f5d.html#8,,
Kingman,Locomotive Park,AZ,US,2018-03-24,From video: scores,40,,40,,,Kingman AZ March For Our Lives Voter Registration,support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://kdminer.com/news/2018/mar/24/joining-march-their-lives/,,
