ILLINOIS CONGRESSIONAL DISTRICTS BY URBAN AND RURAL POPULATION AND LAND AREA
State,CongressionalDistrict,TotalPop,UrbanPop,RuralPop,UrbanPopPCT,RuralPopPCT,Arealand,UrbanLand,RuralLand,UrbanLandPCT,RuralLandPCT
17,01,712813,705405,7408,98.96%,1.04%,258.38,162.25,96.13,62.80%,37.20%
17,02,712813,675150,37663,94.72%,5.28%,1080.67,234.98,845.69,21.74%,78.26%
17,03,712813,710177,2636,99.63%,0.37%,237.18,197.70,39.48,83.36%,16.64%
17,04,712813,712813,0,100.00%,0.00%,52.45,52.45,0.00,100.00%,0.00%
17,05,712813,712813,0,100.00%,0.00%,95.71,95.71,0.00,100.00%,0.00%
17,06,712813,708501,4312,99.40%,0.60%,378.78,337.59,41.19,89.13%,10.87%
17,07,712812,712812,0,100.00%,0.00%,62.52,62.52,0.00,100.00%,0.00%
17,08,712812,712753,59,99.99%,0.01%,205.52,196.10,9.41,95.42%,4.58%
17,09,712813,712813,0,100.00%,0.00%,105.35,105.35,0.00,100.00%,0.00%
17,10,712813,710953,1860,99.74%,0.26%,299.78,274.94,24.84,91.71%,8.29%
17,11,712813,710960,1853,99.74%,0.26%,280.95,237.69,43.26,84.60%,15.40%
17,12,712813,537373,175440,75.39%,24.61%,5008.21,350.85,4657.36,7.01%,92.99%
17,13,712813,562227,150586,78.87%,21.13%,5793.65,267.68,5525.97,4.62%,95.38%
17,14,712813,640537,72276,89.86%,10.14%,1597.60,354.37,1243.22,22.18%,77.82%
17,15,712813,346148,366665,48.56%,51.44%,14695.67,205.90,14489.77,1.40%,98.60%
17,16,712813,505709,207104,70.95%,29.05%,7917.49,293.04,7624.44,3.70%,96.30%
17,17,712813,522663,190150,73.32%,26.68%,6933.08,243.93,6689.16,3.52%,96.48%
17,18,712813,453746,259067,63.66%,36.34%,10515.95,272.50,10243.45,2.59%,97.41%
