MICHIGAN CONGRESSIONAL DISTRICTS BY URBAN AND RURAL POPULATION AND LAND AREA
State,CongressionalDistrict,TotalPop,UrbanPop,RuralPop,UrbanPopPCT,RuralPopPCT,Arealand,UrbanLand,RuralLand,UrbanLandPCT,RuralLandPCT
26,01,705974,258236,447738,36.58%,63.42%,25027.75,192.63,24835.12,0.77%,99.23%
26,02,705975,524235,181740,74.26%,25.74%,3281.19,318.40,2962.79,9.70%,90.30%
26,03,705974,483857,222117,68.54%,31.46%,2628.74,259.30,2369.44,9.86%,90.14%
26,04,705974,258915,447059,36.67%,63.33%,8457.80,180.44,8277.36,2.13%,97.87%
26,05,705975,547065,158910,77.49%,22.51%,2348.70,345.54,2003.17,14.71%,85.29%
26,06,705974,414175,291799,58.67%,41.33%,3546.74,302.59,3244.15,8.53%,91.47%
26,07,705974,379469,326505,53.75%,46.25%,4227.73,260.17,3967.56,6.15%,93.85%
26,08,705975,559334,146641,79.23%,20.77%,1503.18,348.79,1154.38,23.20%,76.80%
26,09,705975,705975,0,100.00%,0.00%,183.59,183.59,0.00,100.00%,0.00%
26,10,705974,449903,256071,63.73%,36.27%,4140.44,241.27,3899.17,5.83%,94.17%
26,11,705974,690517,15457,97.81%,2.19%,419.26,335.00,84.26,79.90%,20.10%
26,12,705974,686369,19605,97.22%,2.78%,403.21,287.98,115.22,71.42%,28.58%
26,13,705974,705944,30,100.00%,0.00%,184.85,183.12,1.73,99.06%,0.94%
26,14,705974,705963,11,100.00%,0.00%,185.73,184.42,1.31,99.29%,0.71%
