NEW JERSEY CONGRESSIONAL DISTRICTS BY URBAN AND RURAL POPULATION AND LAND AREA
State,CongressionalDistrict,TotalPop,UrbanPop,RuralPop,UrbanPopPCT,RuralPopPCT,Arealand,UrbanLand,RuralLand,UrbanLandPCT,RuralLandPCT
34,01,732658,719490,13168,98.20%,1.80%,350.02,251.70,98.32,71.91%,28.09%
34,02,732658,590135,142523,80.55%,19.45%,2092.43,352.90,1739.53,16.87%,83.13%
34,03,732658,701409,31249,95.73%,4.27%,899.70,349.14,550.56,38.81%,61.19%
34,04,732657,696575,36082,95.08%,4.92%,691.88,349.63,342.25,50.53%,49.47%
34,05,732658,637290,95368,86.98%,13.02%,991.30,237.71,753.59,23.98%,76.02%
34,06,732657,732657,0,100.00%,0.00%,215.55,213.09,2.46,98.86%,1.14%
34,07,732658,628663,103995,85.81%,14.19%,970.19,343.46,626.73,35.40%,64.60%
34,08,732658,732658,0,100.00%,0.00%,54.69,54.69,0.00,100.00%,0.00%
34,09,732658,732658,0,100.00%,0.00%,95.34,95.34,0.00,100.00%,0.00%
34,10,732658,732658,0,100.00%,0.00%,75.92,75.92,0.00,100.00%,0.00%
34,11,732658,704894,27764,96.21%,3.79%,504.97,327.11,177.86,64.78%,35.22%
34,12,732658,715039,17619,97.60%,2.40%,412.23,268.87,143.36,65.22%,34.78%
