NEW YORK CONGRESSIONAL DISTRICTS BY URBAN AND RURAL POPULATION AND LAND AREA
State,CongressionalDistrict,TotalPop,UrbanPop,RuralPop,UrbanPopPCT,RuralPopPCT,Arealand,UrbanLand,RuralLand,UrbanLandPCT,RuralLandPCT
36,01,717707,681358,36349,94.94%,5.06%,650.02,350.68,299.35,53.95%,46.05%
36,02,717708,716887,821,99.89%,0.11%,182.01,163.81,18.20,90.00%,10.00%
36,03,717707,713674,4033,99.44%,0.56%,254.92,240.49,14.43,94.34%,5.66%
36,04,717708,717492,216,99.97%,0.03%,110.85,96.90,13.95,87.41%,12.59%
36,05,717708,717708,0,100.00%,0.00%,51.88,48.96,2.92,94.36%,5.64%
36,06,717707,717707,0,100.00%,0.00%,29.78,29.78,0.00,100.00%,0.00%
36,07,717708,717708,0,100.00%,0.00%,16.16,16.16,0.00,100.00%,0.00%
36,08,717708,717671,37,99.99%,0.01%,29.66,23.27,6.39,78.45%,21.55%
36,09,717708,717708,0,100.00%,0.00%,15.54,15.54,0.00,100.00%,0.00%
36,10,717707,717707,0,100.00%,0.00%,14.25,14.25,0.00,100.00%,0.00%
36,11,717708,717708,0,100.00%,0.00%,65.83,65.83,0.00,100.00%,0.00%
36,12,717707,717707,0,100.00%,0.00%,14.79,14.79,0.00,100.00%,0.00%
36,13,717707,717707,0,100.00%,0.00%,10.25,10.25,0.00,100.00%,0.00%
36,14,717708,717669,39,99.99%,0.01%,28.29,25.83,2.46,91.31%,8.69%
36,15,717708,717708,0,100.00%,0.00%,14.54,14.54,0.00,100.00%,0.00%
36,16,717707,717707,0,100.00%,0.00%,78.37,78.14,0.23,99.70%,0.30%
36,17,717708,706251,11457,98.40%,1.60%,382.63,275.66,106.96,72.04%,27.96%
36,18,717707,584759,132948,81.48%,18.52%,1353.42,432.07,921.35,31.92%,68.08%
36,19,717708,262057,455651,36.51%,63.49%,7937.02,224.52,7712.50,2.83%,97.17%
36,20,717708,636501,81207,88.69%,11.31%,1231.28,308.58,922.69,25.06%,74.94%
36,21,717707,303612,414095,42.30%,57.70%,15114.76,194.74,14920.02,1.29%,98.71%
36,22,717708,412622,305086,57.49%,42.51%,5077.45,214.88,4862.57,4.23%,95.77%
36,23,717707,341322,376385,47.56%,52.44%,7371.65,182.46,7189.19,2.48%,97.52%
36,24,717707,522564,195143,72.81%,27.19%,2388.56,258.25,2130.31,10.81%,89.19%
36,25,717707,685570,32137,95.52%,4.48%,510.19,287.11,223.08,56.28%,43.72%
36,26,717707,714453,3254,99.55%,0.45%,219.13,202.18,16.95,92.27%,7.73%
36,27,717707,416568,301139,58.04%,41.96%,3973.13,302.19,3670.94,7.61%,92.39%
