WASHINGTON CONGRESSIONAL DISTRICTS BY URBAN AND RURAL POPULATION AND LAND AREA
State,CongressionalDistrict,TotalPop,UrbanPop,RuralPop,UrbanPopPCT,RuralPopPCT,Arealand,UrbanLand,RuralLand,UrbanLandPCT,RuralLandPCT
53,01,672444,541793,130651,80.57%,19.43%,6186.47,279.69,5906.78,4.52%,95.48%
53,02,672454,573422,99032,85.27%,14.73%,1015.02,219.35,795.67,21.61%,78.39%
53,03,672448,490184,182264,72.90%,27.10%,9114.01,208.22,8905.79,2.28%,97.72%
53,04,672456,498044,174412,74.06%,25.94%,19250.22,253.84,18996.38,1.32%,98.68%
53,05,672455,520339,152116,77.38%,22.62%,15473.13,224.93,15248.20,1.45%,98.55%
53,06,672448,514688,157760,76.54%,23.46%,6902.73,329.10,6573.63,4.77%,95.23%
53,07,672457,661833,10624,98.42%,1.58%,144.13,107.21,36.92,74.38%,25.62%
53,08,672463,560599,111864,83.37%,16.63%,7359.70,271.41,7088.29,3.69%,96.31%
53,09,672460,672286,174,99.97%,0.03%,183.43,178.76,4.67,97.46%,2.54%
53,10,672455,618681,53774,92.00%,8.00%,826.67,302.23,524.44,36.56%,63.44%
