City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Admin Role
"This sheet only includes walkout data gathered by the CCC. It does not include data the Women's March gathered on the walkout. Our totals on the ""Summary"" sheet reflect the combined data.",,,,,,,,,,,,,,,,,,,,,,,,,
Anchorage,Robert Service High School,AK,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.anchoragepress.com/news/anchorage-students-follow-suit-organize-walkouts-over-government-s-failure/article_5691f884-1d39-11e8-b180-63bae31058db.html,,,,
Anchorage,West Anchorage High School,AK,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.anchoragepress.com/news/anchorage-students-follow-suit-organize-walkouts-over-government-s-failure/article_5691f884-1d39-11e8-b180-63bae31058db.html,,,,
Haines,Haines High School,AK,US,2018-03-14,about 55,55,,55,,,students; community members,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.chilkatvalleynews.com/story/2018/03/08/news/students-to-stage-walkouts-in-response-to-school-shootings/11606.html,http://www.chilkatvalleynews.com/story/2018/03/15/news/students-show-solidarity-with-nationwide-walkout/11625.html,,"about 25 students, about 30 community members walking together",
Juneau,Alaska State Capitol; Juneau-Douglas High School ,AK,US,2018-03-14,More than 100,100,,100,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://www.nytimes.com/2018/03/14/us/photos-gun-protest.html,,,,
Juneau,Thunder Mountain High School,AK,US,2018-03-14,,,,,,,students,,1,walkout,,,,,0,1,https://www.ktoo.org/2018/03/13/juneau-high-school-activists-plan-school-safety-walkouts-solidarity-national-protest/,,,,
Athens,Athens High School,AL,US,2018-03-14,,,,,,,students,be kind; remember Parkland,0,walkup; memorial,,,,,1,1,http://www.wsfa.com/story/37722877/tn-valley-schools-participating-in-national-school-walkout,,,,
Birmingham,The Alabama School of Fine Arts,AL,US,2018-03-14,,,,,,,students,,1,walkout,0,0,0,0,1,1,http://www.wiat.com/news/local/photos-schools-in-central-alabama-participate-in-national-school-walkout-day-1/1044882568,,,,
Birmingham,Huffman High School,AL,US,2018-03-14,dozens,24,,24,,,students,,1,walkout,0,0,0,0,0,1,http://www.al.com/news/birmingham/index.ssf/2018/03/huffman_high_school_students_w.html,,,,
Birmingham,Jones Valley Middle School,AL,US,2018-03-14,,,,,,,students,,1,walkout,0,0,0,0,0,1,https://www.facebook.com/birminghamaft/videos/1553767054720790/,,,,
Birmingham,Parker High School,AL,US,2018-03-14,,,,,,,students,,1,walkout,0,0,0,0,0,1,http://www.wiat.com/news/local/photos-schools-in-central-alabama-participate-in-national-school-walkout-day-1/1044882568,,,,
Chelsea ,Chelsea High School,AL,US,2018-03-14,,,,,,,students,,1,walkout,,,,,1,1,http://www.wiat.com/news/local/students-in-central-alabama-plan-national-walkout-day-events/1044199240,,,,
Florence,Florence High School,AL,US,2018-03-14,,,,,,,students,be kind; remember Parkland,0,walkup; memorial,,,,,1,1,http://www.wsfa.com/story/37722877/tn-valley-schools-participating-in-national-school-walkout,,,,
Harvest,Sparkman High School,AL,US,2018-03-14,,,,,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,,,,,1,1,https://www.actionnetwork.org/event_campaigns/enough-national-school-walkout,,,,
Huntsville,Columbia High School,AL,US,2018-03-14,,,,,,,students,,1,walkout,0,0,0,0,0,1,http://whnt.com/2018/03/14/huntsville-city-school-students-walk-out-to-end-school-violence/,,,,"""Huntsville City Schools officials had said their students would not be participating in unorganized walkouts."""
Huntsville,Grissom High School,AL,US,2018-03-14,,,,,,,students,,1,walkout,0,0,0,0,0,1,http://whnt.com/2018/03/14/huntsville-city-school-students-walk-out-to-end-school-violence/,,,,"""Huntsville City Schools officials had said their students would not be participating in unorganized walkouts."""
