"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Adams County, OH"	"39001"	16	27726	Unreliable
	"Allen County, OH"	"39003"	43	103198	41.7
	"Ashland County, OH"	"39005"	10	53628	Unreliable
	"Ashtabula County, OH"	"39007"	44	97807	45.0
	"Athens County, OH"	"39009"	Suppressed	66597	Suppressed
	"Auglaize County, OH"	"39011"	Suppressed	45778	Suppressed
	"Belmont County, OH"	"39013"	21	68029	30.9
	"Brown County, OH"	"39015"	30	43576	68.8
	"Butler County, OH"	"39017"	267	380604	70.2
	"Carroll County, OH"	"39019"	Suppressed	27385	Suppressed
	"Champaign County, OH"	"39021"	19	38840	Unreliable
	"Clark County, OH"	"39023"	95	134557	70.6
	"Clermont County, OH"	"39025"	96	204214	47.0
	"Clinton County, OH"	"39027"	30	42009	71.4
	"Columbiana County, OH"	"39029"	50	103077	48.5
	"Coshocton County, OH"	"39031"	Suppressed	36544	Suppressed
	"Crawford County, OH"	"39033"	19	41746	Unreliable
	"Cuyahoga County, OH"	"39035"	619	1248514	49.6
	"Darke County, OH"	"39037"	29	51536	56.3
	"Defiance County, OH"	"39039"	Suppressed	38156	Suppressed
	"Delaware County, OH"	"39041"	32	200464	16.0
	"Erie County, OH"	"39043"	34	74817	45.4
	"Fairfield County, OH"	"39045"	49	154733	31.7
	"Fayette County, OH"	"39047"	28	28752	97.4
	"Franklin County, OH"	"39049"	451	1291981	34.9
	"Fulton County, OH"	"39051"	Suppressed	42289	Suppressed
	"Gallia County, OH"	"39053"	19	29973	Unreliable
	"Geauga County, OH"	"39055"	25	93918	26.6
	"Greene County, OH"	"39057"	68	166752	40.8
	"Guernsey County, OH"	"39059"	11	39093	Unreliable
	"Hamilton County, OH"	"39061"	461	813822	56.6
	"Hancock County, OH"	"39063"	34	75754	44.9
	"Hardin County, OH"	"39065"	Suppressed	31364	Suppressed
	"Harrison County, OH"	"39067"	Suppressed	15216	Suppressed
	"Henry County, OH"	"39069"	Suppressed	27185	Suppressed
	"Highland County, OH"	"39071"	28	42971	65.2
	"Hocking County, OH"	"39073"	Suppressed	28474	Suppressed
	"Holmes County, OH"	"39075"	Suppressed	43957	Suppressed
	"Huron County, OH"	"39077"	31	58494	53.0
	"Jackson County, OH"	"39079"	Suppressed	32449	Suppressed
	"Jefferson County, OH"	"39081"	28	66359	42.2
	"Knox County, OH"	"39083"	15	61261	Unreliable
	"Lake County, OH"	"39085"	100	230117	43.5
	"Lawrence County, OH"	"39087"	32	60249	53.1
	"Licking County, OH"	"39089"	43	173448	24.8
	"Logan County, OH"	"39091"	17	45325	Unreliable
	"Lorain County, OH"	"39093"	137	307924	44.5
	"Lucas County, OH"	"39095"	167	430887	38.8
	"Madison County, OH"	"39097"	19	44036	Unreliable
	"Mahoning County, OH"	"39099"	117	229796	50.9
	"Marion County, OH"	"39101"	32	64967	49.3
	"Medina County, OH"	"39103"	48	178371	26.9
	"Meigs County, OH"	"39105"	Suppressed	23080	Suppressed
	"Mercer County, OH"	"39107"	Suppressed	40873	Suppressed
	"Miami County, OH"	"39109"	44	105122	41.9
	"Monroe County, OH"	"39111"	Suppressed	13946	Suppressed
	"Montgomery County, OH"	"39113"	525	531542	98.8
	"Morgan County, OH"	"39115"	Suppressed	14709	Suppressed
	"Morrow County, OH"	"39117"	12	34994	Unreliable
	"Muskingum County, OH"	"39119"	21	86149	24.4
	"Noble County, OH"	"39121"	Suppressed	14406	Suppressed
	"Ottawa County, OH"	"39123"	Suppressed	40657	Suppressed
	"Paulding County, OH"	"39125"	Suppressed	18845	Suppressed
	"Perry County, OH"	"39127"	Suppressed	36024	Suppressed
	"Pickaway County, OH"	"39129"	16	57830	Unreliable
	"Pike County, OH"	"39131"	19	28270	Unreliable
	"Portage County, OH"	"39133"	40	162277	24.6
	"Preble County, OH"	"39135"	30	41120	73.0
	"Putnam County, OH"	"39137"	Suppressed	33878	Suppressed
	"Richland County, OH"	"39139"	51	120589	42.3
	"Ross County, OH"	"39141"	28	77313	36.2
	"Sandusky County, OH"	"39143"	22	59195	37.2
	"Scioto County, OH"	"39145"	53	75929	69.8
	"Seneca County, OH"	"39147"	19	55243	Unreliable
	"Shelby County, OH"	"39149"	22	48759	45.1
	"Stark County, OH"	"39151"	105	372542	28.2
	"Summit County, OH"	"39153"	250	541228	46.2
	"Trumbull County, OH"	"39155"	136	200380	67.9
	"Tuscarawas County, OH"	"39157"	22	92297	23.8
	"Union County, OH"	"39159"	11	56741	Unreliable
	"Van Wert County, OH"	"39161"	Suppressed	28217	Suppressed
	"Vinton County, OH"	"39163"	Suppressed	13092	Suppressed
	"Warren County, OH"	"39165"	87	228882	38.0
	"Washington County, OH"	"39167"	15	60418	Unreliable
	"Wayne County, OH"	"39169"	24	116038	20.7
	"Williams County, OH"	"39171"	Suppressed	36784	Suppressed
	"Wood County, OH"	"39173"	18	130492	Unreliable
	"Wyandot County, OH"	"39175"	Suppressed	22029	Suppressed
	"Adams County, PA"	"42001"	17	102336	Unreliable
	"Allegheny County, PA"	"42003"	761	1223048	62.2
	"Armstrong County, PA"	"42005"	36	65642	54.8
	"Beaver County, PA"	"42007"	89	166140	53.6
	"Bedford County, PA"	"42009"	20	48480	41.3
	"Berks County, PA"	"42011"	116	417854	27.8
	"Blair County, PA"	"42013"	47	123457	38.1
	"Bradford County, PA"	"42015"	19	60853	Unreliable
	"Bucks County, PA"	"42017"	279	628341	44.4
	"Butler County, PA"	"42019"	96	187108	51.3
	"Cambria County, PA"	"42021"	84	133054	63.1
	"Cameron County, PA"	"42023"	Suppressed	4592	Suppressed
	"Carbon County, PA"	"42025"	26	63853	40.7
	"Centre County, PA"	"42027"	16	162660	Unreliable
	"Chester County, PA"	"42029"	168	519293	32.4
	"Clarion County, PA"	"42031"	Suppressed	38458	Suppressed
	"Clearfield County, PA"	"42033"	11	79685	Unreliable
	"Clinton County, PA"	"42035"	Suppressed	38998	Suppressed
	"Columbia County, PA"	"42037"	15	65932	Unreliable
	"Crawford County, PA"	"42039"	21	86159	24.4
	"Cumberland County, PA"	"42041"	84	250066	33.6
	"Dauphin County, PA"	"42043"	89	275710	32.3
	"Delaware County, PA"	"42045"	282	564696	49.9
	"Elk County, PA"	"42047"	10	30197	Unreliable
	"Erie County, PA"	"42049"	114	274541	41.5
	"Fayette County, PA"	"42051"	86	131504	65.4
